Filename,Response Duration (seconds),Transcribed Text
test1,0.26166200637817383,
test2,5.616595745,"In a quaint village nestled between rolling hills and lived a young girl named Lydia. One Sunday afternoon, while playing in her grandma's attic, she discovered an old rustic."
test3,13.393556833267212,"Excited, Lee ran to her grandmother to share her discovery. Tears of joy welled up in her grandmother's eyes as she recounted stories of her past, long forgotten. The lost key had unlocked, not just a jest on the treasure trove of memories bringing generations closer together. From that day on, Lady learns the value of curiosity and priceless nature of family stories. And so the key to the past became a bridge to a more connected present."
test4,1.740896463394165,"Once Upon a time, in a small village, there lived a clever fobs."
test5,0.9397690296173096,I wake up at 6:00 AM everyday.
test6,1.4775993824005127,Artificial intelligence is transforming industries.
test7,0.2508528232574463,
test8,5.970113754272461,"In a great village nestled between rolling hills left a young girl named Lee. One Sunday afternoon, while playing in her grandma's attic, she discovered an old rustic in."
test9,4.1354920864105225,Excited lady ran to her grandmother to share her discovery. Tears of joy welled up in her grandmother's eyes as she recounted stories of her past long forgotten.
test10,1.6092042922973633,"Once Upon a time, in a small village, there lived a clever fox."
test11,0.6742277145385742,I wake up at 6:00 AM everyday.
test12,1.9145479202270508,Artificial intelligence is transforming industries.
test13,0.2968788146972656,
test14,0.5298974514007568,
test15,4.420230865478516,Excited Lady rectory grandma to share her discovery Tears of Troy while up in her grandmother's eyes as she encounters stories of her best long forgotten to.
test16,1.5165669918060303,"Once Upon a time, in a small village, there lived a clever fogs."
test17,2.5407779216766357,I wake up at 6:00 AM everyday.
test18,1.5145883560180664,Artificial intelligence is transforming industries.
test19,0.28340744972229004,
test20,0.24991512298583984,
test21,0.4409933090209961,
test22,9.576204538345337,"Excited Lady Rectory Grandma to share her discovery. Tears of joy. It welled up in her grandmother's eyes as she recounted stories of her past long forgotten. The Novsky had unlocked not just a chest, but a treasure trove of memories bring generations closer together."
test23,1.574075698852539,"Once Upon a time, in a small village, there lived a clever fox."
test24,0.8331754207611084,I wake up at 6:00 AM everyday.
test25,1.4107632637023926,Artificial intelligence is transforming industries.
test26,0.26145029067993164,
test27,2.4132707118988037,"In Waiteville, he messed between rolling hills and if the young girl named Lilly."
test28,4.185391902923584,"Excited, Billy ran to her grandmother to share her discovery, tears of joy while copping her grandmother's eyes as she recounted stories of her past long profile."
test29,1.6120870113372803,"Once Upon a time, in a small village, there lived a clever fox."
test30,0.775942326,I wake up at 6:00 AM everyday.
test31,1.6716022491455078,Artificial intelligence is transforming industries.
test32,0.28382062911987305,
test33,0.283705473,
test34,2.2002317905426025,Dennett Wentvich nestled between rolling us lift a young girl named Lydia.
test35,4.179098129272461,Excited lady wrecked her grandmother to share her discovery. Tears of joy and while upping her grandmother's eyes as she recounted stories of her past long forgotten.
test36,1.6229100227355957,"Once Upon a time, in a small village, there lived a clever fox."
test37,2.2912771701812744,I wake up at 6:00 AM everyday.
test38,1.4708898067474365,Artificial intelligence is transforming industries.
test39,0.28317975997924805,
test40,2.3558120727539062,"Can you wait till she, nestled between rolling hills, lift a young girl named Lydon?"
test41,13.53060507774353,"Excited, Lady wrapped her grandmother to share her discovery. Tears of joy while up in her grandmother's eyes as she recounted stories of her past, long from Tulowski, had unlocked not just a chest for the treasure trove, memories bring generations also together. From that day on, Lady learns the value of curiosity and priceless nature of family stories. And so the key to the past became a bridge to a more connected presence."
test42,1.6158719062805176,"Once Upon a time, in a small village, there lived a clever falls."
test43,0.7290287017822266,I wake up at 6:00 AM everyday.
test44,1.5735805034637451,Artificial intelligence is transforming industries.
test45,1.7963552474975586,
test46,0.23452067375183105,
test47,5.901593923568726,"In White Village, nestled between rolling hills, lift the young girl named Lynn. On Sunday afternoon, while playing in her grand Morris attic, she discovered an old, rustic it."
test48,4.172502279281616,Excited Lady Ranbir to share her discovery. Tears of joy and well up in her grandmother's eyes as she recounted stories of her past long form.
test49,1.5612337589263916,"Once Upon a time, in a small village, there lived a clever falls."
test50,0.7320821285247803,I wake up at 6:00 AM everyday.
test51,1.4281384944915771,Artificial intelligence is transforming into threes.
test52,0.2939739227294922,
test53,5.9271111488342285,"Did it wait till he asked between rolling hills and if the young girl named Lynn Once on the afternoon while they intervened, Morris attic. She discovered an old rustic a treat."
test54,12.943578958511353,"Excited Lady Rectory grandma to share his story, tears of joy to well up in her grandmother's eyes as she recounted stories of her best long for Bob the Lasky had unlocked not just a chest and a treasure trove and his regeneration supposed together. From that day on, Lady learned the value of curiosity and the priceless nature of memory stories, and so became as it became a bridge for more among the president."
test55,1.484269618988037,"Once Upon a time, in a small village beneath the Clever Falls."
test56,0.8282170295715332,I wake up at 6:00 AM everyday.
test57,1.463789939880371,Artificial intelligence is transforming industries.
test58,7.433658838272095,"Then, in White Village, nestled between rolling hills and lifted, younger and named Lydia. One Sunday afternoon, while playing in her grandma's attic, she discovered an old rustic. Intrigued, she decided to find what it unlocked."
test59,4.227174997329712,Excited lady ran to her grandmother to share her discovery. Tears of joy welled up in her grandmother's eyes as she recounted stories of her past long forgotten.
test60,1.717139720916748,"Once Upon a time, in a small village, there lived a clever fox."
test61,1.0246543884277344,I wake up at 6:00 AM everyday.
test62,1.585092544555664,Artificial intelligence is transforming industries.
test63,2.4490914344787598,In a great village nestled between rolling hills and lived a young girl named Lydia.
test64,13.488597869873047,"Excited, Lady ran to her grandmother to share her discovery. Tears of joy welled up in her grandmother's eyes as she recounted stories of her past. Long through God, The lost key had unlocked not just a chest, but a treasure trove of memories bring generations also together. From that day on, Lady learns the value of curiosity and priceless nature of family stories. And so the key to the past became a bridge to a more connected present."
test65,1.9798073768615723,"Once Upon a time, in a small village, there lived a clever forms."
test66,2.3698348999023438,I wake up at 6:00 AM everyday.
test67,1.420999526977539,Artificial intelligence is transforming industries.
test68,6.354001998901367,"In a quaint village nestled between rolling hills and left, a young girl named Lyd. Once on the afternoon, while playing in her grandmother's attic, she discovered an old rustic intreat she."
